maintenance_id,vehicle_id,service_date,cost,description
142,47,2023-06-09,658546.44,Tyre replacement
143,47,2025-03-20,801027.53,Brake replacement
144,47,2024-12-02,217132.69,Brake replacement
145,48,2025-08-14,101233.37,Routine service
146,48,2025-04-04,597757.34,Routine service
147,48,2023-11-16,819571.4,Tyre replacement
148,48,2024-09-19,320016.46,Engine repair
149,49,2025-07-03,595321.05,Electrical fault
150,49,2025-01-14,660909.13,Engine repair
151,49,2025-12-03,838287.66,Routine service
152,49,2023-12-07,196674.3,Routine service
153,49,2023-12-22,825722.97,Routine service
154,50,2026-05-27,253910.42,Routine service
155,51,2023-04-20,364748.24,Routine service
156,51,2026-01-13,21771.04,Brake replacement
157,51,2026-06-16,643073.93,Bodywork
158,51,2025-02-02,284216.42,Brake replacement
159,51,2025-03-02,77538.41,Brake replacement
160,52,2025-10-20,407396.2,Routine service
161,53,2025-09-07,301021.99,Bodywork
162,54,2025-04-12,751111.36,Brake replacement
163,54,2023-03-01,229174.31,Engine repair
164,54,2026-03-28,832168.1,Electrical fault
165,54,2025-04-28,656822.7,Electrical fault
166,55,2024-09-01,345640.48,Routine service
167,56,2025-08-26,675750.22,Engine repair
168,56,2024-05-25,199724.71,Bodywork
169,56,2024-08-07,68735.45,Routine service
170,56,2023-11-27,46785.69,Bodywork
171,56,2024-09-07,393493.14,Electrical fault
172,57,2025-02-08,568283.01,Bodywork
173,57,2026-05-28,169048.77,Electrical fault
174,57,2024-03-04,462119.3,Electrical fault
175,57,2023-02-23,417099.67,Tyre replacement
176,57,2026-06-22,535818.85,Electrical fault
177,58,2025-10-14,587609.1,Brake replacement
178,58,2025-08-14,857820.86,Routine service
179,58,2024-07-02,485674.99,Bodywork
180,58,2024-02-21,303077.58,Bodywork
181,59,2023-02-03,343614.56,Electrical fault
182,59,2024-09-05,145524.7,Brake replacement
183,60,2024-10-16,686204.2,Tyre replacement
184,60,2026-05-08,539259.02,Routine service
185,60,2023-02-01,59565.55,Bodywork
186,61,2025-06-13,248607.25,Engine repair
187,61,2023-09-22,323841.08,Engine repair
188,62,2025-06-19,39139.75,Tyre replacement
189,62,2024-02-01,436021.88,Tyre replacement
190,63,2025-05-25,309891.04,Electrical fault
191,63,2023-01-13,589596.38,Electrical fault
192,64,2024-06-24,214369.82,Tyre replacement
193,64,2024-06-04,761773.99,Brake replacement
194,64,2025-06-12,575452.63,Tyre replacement
195,64,2025-01-07,610734.4,Bodywork
196,65,2025-10-31,564620.19,Routine service
197,65,2023-04-07,887232.19,Bodywork
198,65,2025-02-13,501269.57,Brake replacement
199,65,2024-02-24,174809.49,Bodywork
200,65,2025-12-25,715028.49,Routine service
201,66,2024-10-30,43729.71,Brake replacement
202,66,2025-05-22,53546.62,Bodywork
203,66,2025-03-31,53531.75,Brake replacement
204,66,2025-07-25,163041.15,Tyre replacement
205,67,2023-09-04,190437.07,Tyre replacement
206,67,2023-02-07,435813.52,Electrical fault
207,68,2023-09-01,370857.34,Tyre replacement
208,69,2026-05-19,693699.79,Engine repair
209,70,2023-07-14,636627.08,Tyre replacement
210,70,2026-05-30,48842.52,Bodywork
211,70,2026-06-05,623306.23,Bodywork
212,70,2025-07-08,358085.75,Brake replacement
213,71,2023-02-10,851743.55,Tyre replacement
214,71,2024-08-26,20729.36,Brake replacement
215,71,2025-07-08,864776.06,Tyre replacement
216,71,2026-02-27,819159.64,Routine service
217,72,2023-02-06,315715.4,Routine service
218,72,2025-04-01,68203.5,Bodywork
219,72,2026-03-25,410417.14,Brake replacement
220,72,2025-06-02,655535.38,Electrical fault
221,73,2024-09-26,285902.77,Tyre replacement
222,73,2023-11-28,517579.99,Brake replacement
223,73,2023-10-06,679567.4,Bodywork
224,73,2025-12-10,182920.05,Brake replacement
225,73,2025-03-18,41188.42,Bodywork
226,74,2023-04-13,656478.29,Brake replacement
227,74,2024-07-26,594000.87,Electrical fault
228,75,2023-03-05,294789.3,Engine repair
229,75,2023-04-20,487564.35,Tyre replacement
230,75,2026-03-04,257667.09,Tyre replacement
231,75,2023-10-04,217516.84,Routine service
232,75,2024-11-10,864247.81,Brake replacement
233,76,2025-03-12,838469.25,Bodywork
234,76,2026-03-01,804217.68,Brake replacement
235,77,2024-04-16,810709.73,Tyre replacement
236,77,2025-04-08,783764.41,Bodywork
237,77,2024-08-16,200379.65,Tyre replacement
238,77,2026-06-18,197491.45,Bodywork
239,77,2025-02-24,851979.71,Engine repair
240,78,2026-03-23,93438.68,Electrical fault
241,78,2025-09-11,465412.7,Brake replacement
242,78,2023-12-28,439822.18,Bodywork
243,79,2024-11-15,530957.29,Tyre replacement
244,80,2024-07-07,832754.2,Electrical fault
245,80,2023-07-29,656214.26,Electrical fault
246,80,2023-02-03,379260.52,Routine service
247,81,2023-04-05,850818.06,Electrical fault
248,82,2025-09-12,844657.83,Brake replacement
249,82,2025-01-22,545227.99,Routine service
250,82,2023-06-16,853825.66,Electrical fault
251,83,2025-07-16,205171.95,Electrical fault
252,83,2023-02-28,67351.13,Tyre replacement
253,83,2025-08-26,757756.9,Tyre replacement
254,84,2025-09-08,460717.07,Bodywork
255,84,2024-02-09,357931.52,Brake replacement
256,84,2024-10-21,488951.51,Bodywork
257,85,2025-12-31,257479.48,Bodywork
258,86,2024-11-11,443157.63,Electrical fault
259,86,2025-09-09,317277.7,Routine service
260,86,2026-04-30,856640.97,Bodywork
261,86,2023-05-08,609214.39,Routine service
262,87,2024-05-15,642575.35,Electrical fault
263,87,2024-02-05,101926.45,Tyre replacement
264,87,2024-08-05,597553.82,Engine repair
265,87,2023-07-06,652883.24,Bodywork
266,87,2023-10-28,362134.95,Engine repair
267,88,2025-10-24,311946.55,Tyre replacement
268,88,2025-04-29,597717.68,Bodywork
269,88,2023-12-16,663605.83,Routine service
270,89,2023-08-26,599085.55,Brake replacement
271,89,2025-04-22,894361.47,Tyre replacement
272,90,2025-12-19,477205.18,Electrical fault
273,91,2023-11-14,199965.28,Bodywork
274,91,2025-05-11,375265.66,Electrical fault
275,91,2026-06-05,450104.9,Engine repair
276,91,2025-05-17,482222.61,Tyre replacement
277,91,2026-04-26,682247.07,Tyre replacement
278,92,2023-05-01,134082.49,Brake replacement
279,93,2026-02-17,147457.12,Engine repair
280,93,2025-08-23,574027.51,Electrical fault
281,93,2026-04-12,533302.59,Bodywork
282,93,2024-06-05,721327.1,Tyre replacement
283,94,2024-04-08,253106.47,Brake replacement
284,94,2023-09-06,551515.94,Tyre replacement
285,94,2024-03-18,740333.21,Brake replacement
286,95,2024-02-03,294287.53,Engine repair
287,96,2025-06-14,528520.2,Routine service
288,96,2025-02-20,868923.81,Bodywork
289,96,2025-10-09,640931.51,Bodywork
290,97,2026-03-30,423707.69,Electrical fault
291,97,2025-05-12,690762.77,Bodywork
292,98,2023-12-23,725368.05,Engine repair
293,98,2026-01-23,659384.34,Bodywork
294,98,2023-05-09,129201.02,Brake replacement
295,98,2025-01-26,861682.62,Engine repair
296,98,2023-04-07,344763.66,Tyre replacement
297,99,2024-01-26,517476.91,Bodywork
298,99,2023-10-12,384852.57,Routine service
299,100,2023-08-19,677150.45,Brake replacement
300,100,2024-10-16,316827.52,Routine service
301,100,2025-01-30,243091.77,Engine repair
302,100,2026-06-21,582843.58,Brake replacement
303,101,2023-04-10,151740.83,Brake replacement
304,101,2024-05-04,466773.55,Electrical fault
305,101,2024-12-21,358127.17,Routine service
306,101,2026-05-07,816315.73,Brake replacement
307,102,2025-11-25,466520.43,Tyre replacement
308,103,2024-11-21,538542.01,Bodywork
309,103,2023-09-05,513160.26,Bodywork
310,104,2023-01-17,32913.25,Tyre replacement
311,104,2023-12-08,797024.14,Electrical fault
312,104,2025-11-26,705861.47,Engine repair
313,104,2023-12-25,131762.95,Bodywork
314,104,2025-08-07,536162.41,Tyre replacement
315,105,2026-04-12,92076.66,Electrical fault
316,105,2023-01-02,642618.3,Brake replacement
317,105,2024-03-23,348911.92,Engine repair
318,105,2025-02-12,619128.37,Tyre replacement
319,106,2024-05-22,613592.34,Bodywork
320,106,2023-07-15,625698.62,Routine service
321,106,2024-07-22,616971.14,Electrical fault
322,106,2026-05-21,326885.73,Electrical fault
323,107,2025-03-31,236811.74,Routine service
324,107,2026-06-13,326703.85,Tyre replacement
325,107,2024-12-02,419148.62,Bodywork
326,108,2024-05-11,149300.67,Routine service
327,108,2025-05-08,694269.2,Brake replacement
328,108,2024-10-13,531927.11,Electrical fault
329,108,2023-08-20,356099.71,Brake replacement
330,108,2024-10-13,762071.28,Engine repair
331,109,2024-12-06,492921.37,Electrical fault
332,110,2025-01-02,701049.74,Routine service
333,110,2023-06-07,317112.88,Bodywork
334,111,2024-05-31,814466.03,Tyre replacement
335,111,2025-02-18,780707.37,Bodywork
336,111,2023-04-08,800173.48,Brake replacement
337,111,2026-04-12,593119.81,Brake replacement
338,111,2023-10-09,593826.29,Electrical fault
339,112,2026-03-12,402728.59,Routine service
340,113,2023-05-16,94312.78,Engine repair
341,114,2025-11-10,396558.19,Bodywork
342,114,2026-06-14,461037.63,Bodywork
343,114,2024-04-14,30323.19,Brake replacement
344,114,2025-12-12,403440.69,Tyre replacement
345,114,2026-05-24,325373.86,Tyre replacement
346,115,2025-10-28,208891.31,Electrical fault
347,115,2024-04-23,103810.18,Routine service
348,115,2023-09-10,168364.37,Brake replacement
349,116,2025-01-21,302739.45,Brake replacement
350,116,2025-11-24,253578.26,Engine repair
351,116,2023-02-21,750337.29,Electrical fault
352,116,2023-05-01,874230.19,Bodywork
353,116,2023-08-28,170400.46,Routine service
354,117,2023-07-31,322884.7,Brake replacement
355,117,2023-03-17,319241.97,Tyre replacement
356,117,2024-03-19,654925.81,Brake replacement
357,117,2023-07-19,538560.52,Engine repair
358,118,2024-02-15,56172.03,Tyre replacement
359,119,2023-07-02,221735.46,Tyre replacement
360,119,2025-06-07,436769.82,Tyre replacement
361,119,2025-02-01,412072.25,Brake replacement
362,119,2024-08-03,802363.4,Electrical fault
363,119,2025-06-04,173924.07,Engine repair
364,120,2024-07-09,660504.33,Tyre replacement
365,120,2024-04-04,144224.1,Routine service
366,120,2025-03-18,600678.67,Engine repair
367,121,2026-02-09,390394.99,Engine repair
368,121,2024-08-12,466314.19,Bodywork
369,121,2023-12-29,239390.65,Bodywork
370,121,2023-11-27,273003.46,Brake replacement
371,122,2024-08-13,709978.72,Brake replacement
372,122,2025-09-25,859409.47,Bodywork
373,122,2024-09-04,23261.65,Tyre replacement
374,122,2026-03-03,832279.53,Tyre replacement
375,122,2023-11-18,288884.97,Brake replacement
376,123,2023-08-26,652746.31,Routine service
377,123,2026-04-21,891124.94,Engine repair
378,123,2024-03-15,874201.17,Bodywork
379,124,2023-04-02,217214.69,Bodywork
380,124,2024-06-29,150571.88,Brake replacement
381,124,2023-02-07,171090.09,Electrical fault
382,125,2025-11-11,59804.43,Electrical fault
383,125,2023-09-19,101085.77,Brake replacement
384,126,2023-05-03,895936.45,Routine service
385,126,2025-11-24,328079.18,Tyre replacement
386,127,2023-08-24,124453.27,Brake replacement
387,127,2023-03-30,49254.63,Routine service
388,127,2023-04-22,500194.5,Electrical fault
389,127,2023-10-21,755849.02,Bodywork
390,127,2025-05-28,705506.83,Bodywork
391,128,2023-07-22,309530.21,Bodywork
392,128,2023-05-12,626529.17,Routine service
393,128,2025-02-15,158199.92,Tyre replacement
394,128,2026-01-24,826437.99,Tyre replacement
395,128,2023-01-31,26236.29,Brake replacement
396,129,2024-04-21,753085.34,Engine repair
397,129,2023-09-21,715516.39,Engine repair
398,130,2026-02-09,99237.92,Tyre replacement
399,130,2024-03-22,720976.9,Tyre replacement
400,131,2024-10-11,694821.24,Brake replacement
401,131,2023-11-26,116933.75,Tyre replacement
402,131,2026-06-25,64456.82,Routine service
403,132,2023-01-11,666455.37,Electrical fault
404,132,2025-10-07,168781.74,Engine repair
405,132,2024-11-14,550526.68,Brake replacement
406,133,2023-07-27,796219.8,Engine repair
407,133,2025-08-14,251944.54,Electrical fault
408,133,2024-05-27,353162.43,Bodywork
409,134,2024-12-14,188534.4,Bodywork
410,134,2025-05-03,215937.09,Engine repair
411,134,2025-12-17,889961.66,Electrical fault
412,134,2023-09-09,762820.8,Electrical fault
413,134,2024-02-01,798126.44,Brake replacement
414,135,2023-07-29,560724.1,Routine service
415,135,2025-02-15,683262.58,Engine repair
416,135,2025-02-27,348398.75,Tyre replacement
417,136,2025-12-29,796654.82,Routine service
418,136,2024-02-25,173462.45,Bodywork
419,136,2023-08-23,698430.72,Electrical fault
420,137,2025-01-07,611271.89,Engine repair
421,137,2025-10-01,419730.18,Routine service
422,137,2024-07-03,730242.4,Engine repair
423,137,2024-10-06,826977.83,Brake replacement
424,138,2024-06-28,556706.39,Bodywork
425,138,2024-01-30,628422.08,Bodywork
426,139,2023-08-17,76984.49,Electrical fault
427,139,2023-08-30,413879.88,Brake replacement
428,140,2023-12-14,413659.15,Brake replacement
429,140,2024-03-24,481032.43,Tyre replacement
430,141,2023-09-25,859521.92,Electrical fault
431,141,2024-04-16,162749.81,Brake replacement
432,141,2023-11-03,659625.42,Routine service
433,141,2025-10-18,354905.76,Brake replacement
434,141,2024-11-25,265600.44,Routine service
435,142,2026-01-01,392104.28,Bodywork
436,142,2025-06-25,696941.22,Brake replacement
437,142,2026-05-21,852414.42,Bodywork
438,142,2024-08-13,118626.35,Brake replacement
439,143,2024-03-28,775206.69,Engine repair
440,144,2025-03-31,440273.98,Bodywork
441,144,2026-04-06,84831.97,Bodywork
442,145,2026-04-02,429230.85,Bodywork
443,145,2025-09-14,481102.18,Engine repair
444,146,2025-05-25,309901.91,Brake replacement
445,146,2024-05-10,690212.46,Electrical fault
446,146,2026-06-17,267191.62,Tyre replacement
447,146,2023-11-27,446696.03,Engine repair
448,146,2024-05-29,115886.97,Bodywork
449,147,2023-09-22,430215.24,Bodywork
450,147,2024-01-26,90090.98,Routine service
451,147,2023-07-13,19806.29,Bodywork
452,148,2025-12-15,347114.94,Engine repair
453,148,2025-04-18,73754.97,Routine service
454,148,2026-03-25,874156.35,Routine service
455,149,2026-02-27,446558.34,Bodywork
456,149,2024-03-25,492798.28,Bodywork
457,149,2025-05-26,225017.38,Tyre replacement
458,149,2023-11-08,657630.22,Brake replacement
459,150,2024-10-28,358770.14,Bodywork
460,150,2025-10-18,423450.29,Engine repair
461,150,2024-07-22,121849.07,Brake replacement
462,150,2024-01-09,890429.36,Routine service
463,150,2024-09-15,478932.94,Bodywork
464,151,2023-07-27,554853.85,Tyre replacement
465,151,2025-05-25,174754.87,Tyre replacement
466,152,2023-09-14,885567.36,Electrical fault
467,152,2023-06-29,179056.06,Routine service
468,153,2024-08-26,608611.87,Electrical fault
469,153,2023-01-30,283261.97,Tyre replacement
470,154,2023-09-30,128347.58,Tyre replacement
471,155,2023-08-29,864427.36,Bodywork
472,155,2024-08-07,63302.28,Routine service
473,155,2025-04-26,142906.72,Bodywork
474,156,2025-07-12,690392.01,Bodywork
475,156,2023-06-14,520887.86,Electrical fault
476,156,2025-06-13,574980.02,Engine repair
477,157,2025-11-03,469177.38,Electrical fault
478,157,2023-02-20,481005.84,Brake replacement
479,157,2025-01-14,440416.86,Routine service
480,158,2026-02-06,516666.06,Bodywork
481,158,2023-02-10,290165.13,Electrical fault
482,158,2024-03-19,734795.78,Bodywork
483,159,2024-06-09,568794.17,Bodywork
484,159,2023-07-09,336259.46,Electrical fault
485,160,2026-06-15,538811.97,Electrical fault
486,161,2026-01-03,96646.62,Engine repair
487,161,2025-08-01,751797.04,Brake replacement
488,161,2026-05-15,723459.83,Bodywork
489,161,2023-02-01,165892.87,Electrical fault
490,161,2023-10-04,521314.93,Engine repair
491,162,2024-04-11,374508.23,Tyre replacement
492,162,2025-03-31,873952.01,Brake replacement
493,162,2025-10-26,766764.07,Routine service
494,162,2023-06-14,629032.27,Tyre replacement
495,163,2025-01-17,806217.12,Tyre replacement
496,163,2024-02-01,317296.56,Engine repair
497,164,2023-04-24,391226.7,Bodywork
498,164,2023-06-01,448563.5,Bodywork
499,164,2025-07-24,148156.43,Electrical fault
500,165,2024-05-28,330809.35,Bodywork
501,165,2023-07-17,670661.91,Bodywork
502,165,2025-09-09,591988.1,Brake replacement
503,166,2024-12-18,597651.17,Routine service
504,167,2023-05-06,150126.3,Tyre replacement
505,167,2025-09-28,842928.83,Engine repair
506,167,2024-10-22,226899.57,Bodywork
507,167,2025-10-27,654446.34,Brake replacement
508,168,2023-08-11,646250.37,Routine service
509,168,2024-03-21,767715.48,Electrical fault
510,169,2025-01-06,34181.43,Tyre replacement
511,170,2025-06-09,866791.19,Tyre replacement
512,171,2025-10-29,313000.3,Brake replacement
513,171,2026-03-02,628083.11,Electrical fault
514,172,2023-01-17,492094.62,Routine service
515,173,2026-03-13,300849.13,Bodywork
516,174,2025-03-30,528489.83,Engine repair
517,175,2025-06-11,725793.69,Electrical fault
518,176,2026-02-05,580675.28,Electrical fault
519,176,2023-11-26,842791.86,Bodywork
520,176,2025-06-27,685285.17,Engine repair
521,176,2023-11-07,433263.89,Routine service
522,176,2025-05-05,629030.98,Routine service
523,177,2024-05-20,175897.88,Electrical fault
524,178,2024-10-23,833459.44,Routine service
525,178,2025-09-17,721570.4,Electrical fault
526,179,2024-07-06,480991.46,Tyre replacement
527,179,2024-01-10,294336.73,Routine service
528,179,2023-09-20,291468.99,Bodywork
529,180,2024-12-17,827208.76,Engine repair
530,180,2024-11-17,270941.29,Tyre replacement
531,180,2024-03-02,643987.67,Bodywork
532,180,2025-12-07,736756.65,Electrical fault
533,181,2026-01-18,511120.61,Bodywork
534,181,2025-01-23,617475.25,Tyre replacement
535,181,2025-06-22,374898.82,Brake replacement
536,181,2025-04-11,90564.92,Brake replacement
537,181,2025-10-10,147263.47,Electrical fault
538,182,2024-12-18,395629.05,Routine service
539,182,2024-08-16,310241.72,Engine repair
540,182,2024-05-21,68369.9,Electrical fault
541,182,2026-03-27,325292.73,Engine repair
542,183,2024-10-21,451546.45,Tyre replacement
543,183,2025-12-24,509152.72,Routine service
544,183,2023-05-28,230791.72,Engine repair
545,183,2023-11-09,551031.85,Routine service
546,183,2024-07-04,892718.67,Routine service
547,184,2025-05-02,554027.14,Tyre replacement
548,184,2023-06-27,871248.72,Brake replacement
549,184,2023-06-15,100226.75,Routine service
550,184,2025-11-28,503935.17,Tyre replacement
551,184,2024-06-26,333675.85,Tyre replacement
552,185,2023-05-24,708660.14,Electrical fault
553,185,2024-03-10,111153.42,Brake replacement
554,185,2025-05-13,462948.33,Routine service
555,185,2025-10-16,746142.79,Brake replacement
556,186,2024-01-12,695756.09,Brake replacement
557,187,2024-10-24,316329.22,Engine repair
558,187,2026-02-16,599177.63,Engine repair
559,187,2026-05-27,454397.36,Brake replacement
560,187,2024-08-02,392047.4,Brake replacement
561,188,2025-04-29,885674.91,Electrical fault
562,188,2023-01-03,645012.15,Electrical fault
563,189,2025-04-30,287617.28,Electrical fault
564,189,2026-04-17,595431.55,Engine repair
565,189,2024-01-18,822095.34,Tyre replacement
566,190,2023-03-03,460383.99,Routine service
567,190,2023-08-24,565114.9,Tyre replacement
568,190,2023-09-16,32668.53,Routine service
569,190,2023-01-01,440442.37,Tyre replacement
570,190,2024-05-22,888113.69,Engine repair
571,191,2024-03-12,486195.84,Routine service
572,191,2025-02-04,46703.45,Engine repair
573,191,2023-08-24,293655.3,Bodywork
574,192,2023-04-01,585811.71,Routine service
575,192,2024-05-28,658993.15,Brake replacement
576,192,2025-10-02,304730.76,Bodywork
577,192,2024-09-22,838998.1,Routine service
578,192,2024-06-23,773466.12,Bodywork
579,193,2025-10-02,754720.48,Bodywork
580,194,2024-01-02,815170.06,Bodywork
581,194,2023-12-19,698323.58,Tyre replacement
582,194,2023-04-02,152268.22,Engine repair
583,195,2024-07-01,455542.48,Electrical fault
584,195,2025-01-30,835165.5,Routine service
585,196,2024-02-19,170146.35,Tyre replacement
586,196,2024-05-01,230986.48,Routine service
587,196,2026-05-12,469524.48,Electrical fault
588,196,2024-12-28,662175.05,Bodywork
589,196,2023-07-13,258734.35,Electrical fault
590,197,2023-10-03,154885.09,Electrical fault
591,198,2026-05-14,249706.36,Electrical fault
592,198,2026-01-27,675718.54,Tyre replacement
593,198,2023-04-25,65902.03,Tyre replacement
594,199,2023-06-30,425788.35,Electrical fault
595,200,2023-06-11,98947.74,Electrical fault
596,201,2026-02-13,660882.58,Bodywork
597,201,2024-10-01,141651.67,Brake replacement
598,201,2026-02-13,807949.4,Brake replacement
599,201,2023-01-03,135343.58,Engine repair
600,201,2023-05-19,882282.73,Brake replacement
601,202,2025-06-05,430232.88,Routine service
602,202,2024-10-02,857262.16,Electrical fault
603,202,2024-04-23,867636.59,Electrical fault
604,202,2024-07-30,143888.38,Brake replacement
605,203,2025-09-05,771516.72,Tyre replacement
606,203,2023-07-13,784948.29,Routine service
607,203,2025-05-22,423764.94,Routine service
608,203,2023-04-05,849941.36,Routine service
609,204,2024-12-27,404718.46,Tyre replacement
610,204,2023-02-04,349501.62,Engine repair
611,204,2024-06-26,165854.53,Tyre replacement
612,205,2025-01-31,25528.5,Electrical fault
613,205,2025-09-10,116537.18,Bodywork
614,205,2024-04-04,626266.66,Tyre replacement
615,205,2025-01-28,116027.12,Routine service
616,206,2025-02-24,287530.3,Engine repair
617,207,2025-08-07,411611.37,Engine repair
618,207,2024-05-04,436620.16,Routine service
