asset_id,property_id,asset_type,installed_date,condition_rating
286,70,Generator,2019-07-15,poor
287,70,HVAC Unit,2024-01-07,fair
288,70,HVAC Unit,2024-09-22,fair
289,70,HVAC Unit,2026-02-21,fair
290,71,Solar Array,2024-08-04,good
291,71,CCTV System,2020-08-22,excellent
292,71,Fire Suppression System,2019-09-18,excellent
293,71,Solar Array,2018-03-08,good
294,71,HVAC Unit,2026-05-25,fair
295,72,Solar Array,2019-05-06,fair
296,72,Elevator,2018-08-08,good
297,72,Fire Suppression System,2021-04-21,good
298,72,HVAC Unit,2017-09-22,good
299,72,HVAC Unit,2022-09-01,poor
300,72,HVAC Unit,2016-07-18,excellent
301,73,Solar Array,2016-07-11,good
302,73,CCTV System,2022-03-12,good
303,74,HVAC Unit,2021-05-24,fair
304,74,CCTV System,2023-03-17,good
305,75,Elevator,2022-04-26,excellent
306,75,CCTV System,2023-12-25,fair
307,75,Generator,2016-11-13,fair
308,75,CCTV System,2024-06-08,fair
309,75,Generator,2023-11-24,good
310,76,HVAC Unit,2026-01-29,fair
311,76,Fire Suppression System,2022-01-23,poor
312,76,Fire Suppression System,2019-10-12,good
313,76,Elevator,2018-10-13,good
314,77,Elevator,2018-07-05,excellent
315,77,Generator,2023-04-24,poor
316,78,Generator,2015-04-09,good
317,78,Fire Suppression System,2015-03-02,excellent
318,78,HVAC Unit,2016-06-02,excellent
319,78,CCTV System,2026-01-22,good
320,78,Generator,2019-08-12,fair
321,78,Generator,2016-08-29,good
322,79,Elevator,2021-08-04,fair
323,79,Generator,2015-12-16,good
324,79,Solar Array,2023-08-14,fair
325,79,Fire Suppression System,2025-10-16,fair
326,79,Generator,2026-06-03,fair
327,80,Elevator,2018-11-04,excellent
328,80,Elevator,2024-05-20,fair
329,80,Generator,2021-09-28,excellent
330,80,Generator,2019-11-04,excellent
331,80,HVAC Unit,2022-08-04,good
332,80,HVAC Unit,2018-01-27,fair
333,81,HVAC Unit,2019-12-18,good
334,81,Fire Suppression System,2017-04-16,fair
335,81,Fire Suppression System,2015-08-09,good
336,81,Solar Array,2021-03-13,excellent
337,81,Elevator,2025-07-13,good
338,81,Solar Array,2018-07-22,good
339,82,HVAC Unit,2015-10-28,good
340,82,Elevator,2019-12-24,good
341,82,Fire Suppression System,2023-07-04,poor
342,82,HVAC Unit,2020-11-07,fair
343,82,CCTV System,2022-03-16,good
344,82,Fire Suppression System,2019-09-17,fair
345,83,HVAC Unit,2015-03-15,good
346,83,Elevator,2024-05-01,good
347,83,Elevator,2024-01-16,good
348,83,Elevator,2023-11-13,good
349,83,Elevator,2025-06-29,fair
350,84,CCTV System,2023-01-14,good
351,84,Fire Suppression System,2019-02-26,fair
352,84,CCTV System,2016-01-12,fair
353,85,CCTV System,2017-02-01,good
354,85,HVAC Unit,2023-01-19,good
355,85,Solar Array,2021-10-16,fair
356,85,Solar Array,2019-01-21,good
357,85,Generator,2021-05-03,good
358,85,HVAC Unit,2015-05-17,fair
359,86,CCTV System,2024-07-08,fair
360,86,CCTV System,2017-08-01,good
361,86,HVAC Unit,2026-04-28,good
362,87,Solar Array,2016-03-09,excellent
363,87,Generator,2016-06-23,fair
364,88,Generator,2017-01-23,good
365,88,HVAC Unit,2023-12-19,fair
366,88,HVAC Unit,2020-05-09,fair
367,88,Elevator,2021-11-07,good
368,89,Generator,2016-09-29,poor
369,89,Solar Array,2022-01-29,fair
370,89,HVAC Unit,2015-11-03,fair
371,89,CCTV System,2024-10-17,fair
372,90,Generator,2020-08-25,fair
373,90,CCTV System,2021-10-14,excellent
374,90,CCTV System,2016-09-05,good
375,90,Solar Array,2024-02-01,excellent
376,90,HVAC Unit,2017-03-20,poor
377,91,Solar Array,2022-12-02,excellent
378,91,Generator,2016-02-10,fair
379,91,Generator,2019-09-10,excellent
380,92,Solar Array,2015-03-17,excellent
381,92,Solar Array,2023-12-25,poor
382,92,Solar Array,2021-06-09,good
383,92,Elevator,2019-10-02,good
384,93,Fire Suppression System,2018-11-18,fair
385,93,Solar Array,2017-12-28,good
386,93,Solar Array,2017-02-21,good
387,93,HVAC Unit,2024-06-19,good
388,93,Generator,2026-02-09,excellent
389,94,HVAC Unit,2017-02-03,good
390,94,CCTV System,2023-08-05,good
391,94,HVAC Unit,2022-08-06,excellent
